file_id_namespace	file_id	subject_id_namespace	subject_id
https://gtexportal.org	GTEX-1B97J-0326-SM-7939H	https://gtexportal.org	GTEX-1B97J
https://gtexportal.org	GTEX-13O3P-1626-SM-5K7X3	https://gtexportal.org	GTEX-13O3P
https://gtexportal.org	GTEX-ZVT4-0006-SM-57WB8	https://gtexportal.org	GTEX-ZVT4
https://gtexportal.org	GTEX-18A7A-0626-SM-718BJ	https://gtexportal.org	GTEX-18A7A
https://gtexportal.org	GTEX-ZV7C-1526-SM-5NQ72	https://gtexportal.org	GTEX-ZV7C
https://gtexportal.org	GTEX-XOTO-0226-SM-4B66H	https://gtexportal.org	GTEX-XOTO
https://gtexportal.org	GTEX-131XE-0926-SM-5HL7J	https://gtexportal.org	GTEX-131XE
https://gtexportal.org	GTEX-11TT1-0326-SM-5LUAY	https://gtexportal.org	GTEX-11TT1
https://gtexportal.org	GTEX-XUW1-0002-SM-5JK4P	https://gtexportal.org	GTEX-XUW1
https://gtexportal.org	GTEX-11TTK-2926-SM-5PNYP	https://gtexportal.org	GTEX-11TTK
https://gtexportal.org	GTEX-ZC5H-0626-SM-5LU9K	https://gtexportal.org	GTEX-ZC5H
https://gtexportal.org	GTEX-1AX8Z-2826-SM-73KTZ	https://gtexportal.org	GTEX-1AX8Z
https://gtexportal.org	GTEX-WFG8-2326-SM-5S2UE	https://gtexportal.org	GTEX-WFG8
https://gtexportal.org	GTEX-15RJE-0011-R7a-SM-7DHL9	https://gtexportal.org	GTEX-15RJE
https://gtexportal.org	GTEX-14E6E-0001-SM-5DU3J	https://gtexportal.org	GTEX-14E6E
https://gtexportal.org	GTEX-12WSN-1826-SM-5LZUT	https://gtexportal.org	GTEX-12WSN
https://gtexportal.org	GTEX-1117F-1326-SM-5EGHH	https://gtexportal.org	GTEX-1117F
https://gtexportal.org	GTEX-1A8G7-0226-SM-731AS	https://gtexportal.org	GTEX-1A8G7
https://gtexportal.org	GTEX-XUZC-0002-SM-5JK3R	https://gtexportal.org	GTEX-XUZC
https://gtexportal.org	GTEX-11DXY-2726-SM-5GID2	https://gtexportal.org	GTEX-11DXY
https://gtexportal.org	GTEX-T5JW-0003-SM-3NMAD	https://gtexportal.org	GTEX-T5JW
https://gtexportal.org	GTEX-15EOM-5007-SM-793DG	https://gtexportal.org	GTEX-15EOM
https://gtexportal.org	GTEX-14PJ5-0526-SM-664OE	https://gtexportal.org	GTEX-14PJ5
https://gtexportal.org	GTEX-WFG8-2426-SM-3GILL	https://gtexportal.org	GTEX-WFG8
https://gtexportal.org	GTEX-Y8LW-0004-SM-6UH3N	https://gtexportal.org	GTEX-Y8LW
https://gtexportal.org	GTEX-REY6-2126-SM-48FD9	https://gtexportal.org	GTEX-REY6
https://gtexportal.org	GTEX-P4QS-0008-SM-48TDY	https://gtexportal.org	GTEX-P4QS
https://gtexportal.org	GTEX-X261-1426-SM-4PQZ1	https://gtexportal.org	GTEX-X261
https://gtexportal.org	GTEX-13O3O-0011-R3b-SM-5KM3R	https://gtexportal.org	GTEX-13O3O
https://gtexportal.org	GTEX-12WS9-0426-SM-59HJW	https://gtexportal.org	GTEX-12WS9
https://gtexportal.org	GTEX-TKQ1-0226-SM-33HB5	https://gtexportal.org	GTEX-TKQ1
https://gtexportal.org	GTEX-WOFM-0001-SM-4OOT2	https://gtexportal.org	GTEX-WOFM
https://gtexportal.org	GTEX-YEC3-1426-SM-5PNXW	https://gtexportal.org	GTEX-YEC3
https://gtexportal.org	GTEX-WFON-0326-SM-5S2TP	https://gtexportal.org	GTEX-WFON
https://gtexportal.org	GTEX-WOFM-1726-SM-3MJFA	https://gtexportal.org	GTEX-WOFM
https://gtexportal.org	GTEX-11P7K-1826-SM-5HL5A	https://gtexportal.org	GTEX-11P7K
https://gtexportal.org	GTEX-SJXC-0726-SM-2XCFJ	https://gtexportal.org	GTEX-SJXC
https://gtexportal.org	GTEX-14PQA-1126-SM-7KUM4	https://gtexportal.org	GTEX-14PQA
https://gtexportal.org	GTEX-11P7K-0002-SM-6WBUI	https://gtexportal.org	GTEX-11P7K
https://gtexportal.org	GTEX-12WSG-0005-SM-5NQA2	https://gtexportal.org	GTEX-12WSG
https://gtexportal.org	GTEX-N7MS-0826-SM-2HML4	https://gtexportal.org	GTEX-N7MS
https://gtexportal.org	GTEX-15RJE-2726-SM-6LPJ1	https://gtexportal.org	GTEX-15RJE
https://gtexportal.org	K-562-SM-4TT1D	https://gtexportal.org	K-562
https://gtexportal.org	GTEX-ZVP2-1326-SM-57WCE	https://gtexportal.org	GTEX-ZVP2
https://gtexportal.org	GTEX-X4EP-3026-SM-3P5YP	https://gtexportal.org	GTEX-X4EP
https://gtexportal.org	GTEX-13W46-1826-SM-5K7VA	https://gtexportal.org	GTEX-13W46
https://gtexportal.org	GTEX-ZUA1-0011-R3a-SM-4YCEE	https://gtexportal.org	GTEX-ZUA1
https://gtexportal.org	GTEX-13OVK-0826-SM-7KULZ	https://gtexportal.org	GTEX-13OVK
https://gtexportal.org	GTEX-11EQ8-0008-SM-5Q5DJ	https://gtexportal.org	GTEX-11EQ8
https://gtexportal.org	GTEX-QEG4-0003-SM-3USS4	https://gtexportal.org	GTEX-QEG4
https://gtexportal.org	GTEX-Q2AG-1026-SM-33HBW	https://gtexportal.org	GTEX-Q2AG
https://gtexportal.org	GTEX-U3ZM-0226-SM-4DXTA	https://gtexportal.org	GTEX-U3ZM
https://gtexportal.org	GTEX-ZPU1-0426-SM-4WWCA	https://gtexportal.org	GTEX-ZPU1
https://gtexportal.org	GTEX-WHSB-1826-SM-3TW8M	https://gtexportal.org	GTEX-WHSB
https://gtexportal.org	GTEX-1117F-3226-SM-5N9CT	https://gtexportal.org	GTEX-1117F
https://gtexportal.org	GTEX-WZTO-0126-SM-3NM95	https://gtexportal.org	GTEX-WZTO
https://gtexportal.org	GTEX-Q2AH-0004-SM-5JK52	https://gtexportal.org	GTEX-Q2AH
https://gtexportal.org	GTEX-S4P3-0726-SM-4AD57	https://gtexportal.org	GTEX-S4P3
https://gtexportal.org	GTEX-13111-0726-SM-5DUVE	https://gtexportal.org	GTEX-13111
https://gtexportal.org	GTEX-14ICL-0526-SM-5RQJ6	https://gtexportal.org	GTEX-14ICL
https://gtexportal.org	GTEX-16Z82-0426-SM-7EPGX	https://gtexportal.org	GTEX-16Z82
https://gtexportal.org	GTEX-14PJO-0826-SM-6ETZK	https://gtexportal.org	GTEX-14PJO
https://gtexportal.org	GTEX-132AR-0002-SM-5DU51	https://gtexportal.org	GTEX-132AR
https://gtexportal.org	GTEX-PWCY-2226-SM-2S1OP	https://gtexportal.org	GTEX-PWCY
https://gtexportal.org	GTEX-13NZ8-1226-SM-5KM4A	https://gtexportal.org	GTEX-13NZ8
https://gtexportal.org	GTEX-YJ8O-2626-SM-5HL8H	https://gtexportal.org	GTEX-YJ8O
https://gtexportal.org	GTEX-WI4N-2026-SM-4OOS7	https://gtexportal.org	GTEX-WI4N
https://gtexportal.org	GTEX-11EQ9-1626-SM-5PNY8	https://gtexportal.org	GTEX-11EQ9
https://gtexportal.org	GTEX-ZQG8-2426-SM-57WEE	https://gtexportal.org	GTEX-ZQG8
https://gtexportal.org	GTEX-YB5E-0001-SM-4VDSV	https://gtexportal.org	GTEX-YB5E
https://gtexportal.org	GTEX-13OW6-0726-SM-5L3FX	https://gtexportal.org	GTEX-13OW6
https://gtexportal.org	GTEX-Y5V6-0426-SM-4VBRZ	https://gtexportal.org	GTEX-Y5V6
https://gtexportal.org	GTEX-OHPL-1326-SM-3MJGG	https://gtexportal.org	GTEX-OHPL
https://gtexportal.org	GTEX-131YS-0226-SM-5IJEH	https://gtexportal.org	GTEX-131YS
https://gtexportal.org	GTEX-U8XE-1326-SM-4E3JK	https://gtexportal.org	GTEX-U8XE
https://gtexportal.org	GTEX-11P82-0226-SM-5HL4O	https://gtexportal.org	GTEX-11P82
https://gtexportal.org	GTEX-Z93S-1626-SM-5CVMB	https://gtexportal.org	GTEX-Z93S
https://gtexportal.org	GTEX-WOFL-0126-SM-3MJG2	https://gtexportal.org	GTEX-WOFL
https://gtexportal.org	GTEX-13OW7-0626-SM-5K7UD	https://gtexportal.org	GTEX-13OW7
https://gtexportal.org	GTEX-ZEX8-2426-SM-4WKG4	https://gtexportal.org	GTEX-ZEX8
https://gtexportal.org	GTEX-UPK5-2026-SM-4JBIM	https://gtexportal.org	GTEX-UPK5
https://gtexportal.org	GTEX-ZLFU-0826-SM-4WWBP	https://gtexportal.org	GTEX-ZLFU
https://gtexportal.org	GTEX-14LLW-0626-SM-62LFC	https://gtexportal.org	GTEX-14LLW
https://gtexportal.org	GTEX-ZA64-0626-SM-5HL9O	https://gtexportal.org	GTEX-ZA64
https://gtexportal.org	GTEX-N7MS-2625-SM-3LK77	https://gtexportal.org	GTEX-N7MS
https://gtexportal.org	GTEX-P4PP-2526-SM-3P61P	https://gtexportal.org	GTEX-P4PP
https://gtexportal.org	GTEX-13O21-2326-SM-5MR3X	https://gtexportal.org	GTEX-13O21
https://gtexportal.org	GTEX-WHPG-0926-SM-4M1XY	https://gtexportal.org	GTEX-WHPG
https://gtexportal.org	GTEX-WQUQ-0002-SM-6WBSD	https://gtexportal.org	GTEX-WQUQ
